,Rank,Name,Keywords,Corr,pvalue
880,881,SY_SlidingWindow_s_s5_2,stationarity,0.221,1.5508324752665858e-12
881,882,ST_MomentCorr_002_02_median_iqr_none_mi,statistics,0.220,1.9572566014637718e-12
882,883,ST_MomentCorr_002_02_median_iqr_none_absR,statistics,0.220,1.94085251956772e-12
883,884,CP_ML_StepDetect_l1pwc_005_meanerrstepint,stepdetection,0.220,1.8707297646259054e-12
884,885,MF_GP_LocalPrediction_covSEiso_covNoise_5_3_10_beforeafter_meanlogh3,"model,GaussianProcess",0.220,2.040814008336086e-12
885,886,TSTL_localdensity_5_40_1_3_stdden,"nonlinear,tstool",0.220,2.1702375066106296e-12
886,887,TSTL_localdensity_5_40_ac_2_maxden,"nonlinear,tstool",0.220,2.6603569229165433e-12
887,888,NL_TISEAN_fnn_1_10_005_nHood2_2,"nonlinear,dimension,tisean",0.220,2.540053646887886e-12
888,889,SC_FluctAnal_sign_2_dfa_50_2_logi_ratsplitminerr,scaling,0.220,2.119540922752464e-12
889,890,SC_FluctAnal_2_dfa_50_1_logi_alpha,scaling,0.220,2.1124153671161543e-12
890,891,CO_Embed2_tau_std_eucds,"correlation,embedding,stationarity",0.220,2.2324603306227127e-12
891,892,EN_DistributionEntropy_raw_ks__001,"entropy,raw,spreaddep",0.220,2.2012636492146796e-12
892,893,AC_10,correlation,0.220,2.183964328364098e-12
893,894,MF_hmm_07_3_meanMu,"hmm,model",0.219,2.8409641592892734e-12
894,895,MF_GARCHfit_ar_P1_Q1_stde_sbc1,model,0.219,2.5817127556407674e-12
895,896,MF_armax_1_1_05_1_ac1,model,0.219,2.7573541471529672e-12
896,897,MF_steps_ahead_ar_best_6_rmserr_3,"model,prediction,arfit",0.219,2.8393464222231458e-12
897,898,MF_steps_ahead_ar_2_6_ac1_3,"model,prediction",0.219,2.4283936027023986e-12
898,899,PP_Compare_spline44_gauss1_kd_rmse,"preprocessing,raw",0.219,2.6216012698523387e-12
899,900,PP_Compare_spline24_statav10,"preprocessing,raw,stationarity",0.219,2.2853289767257222e-12
900,901,NL_TSTL_dimensions_50_ac_fnnmar_bc_lfitb1,"nonlinear,tstool,scaling,dimension",0.219,5.411695350792991e-12
901,902,SY_TISEAN_nstat_z_4_1_3_rangemean,"nonlinear,tisean,model,stationarity",0.219,2.654115352666035e-12
902,903,SB_MotifThree_diffquant_bc,"symbolic,motifs",0.219,2.4801975133770126e-12
903,904,ST_LocalExtrema_n50_maxabsext,"distribution,stationarity",0.219,2.26225988160419e-12
904,905,FC_LocalSimple_mean3_tauresrat,forecasting,0.219,2.7080368827180677e-12
905,906,EN_Randomize_dyndist_swss5_1fexprmse,"entropy,slow,stationarity",0.219,2.432821056521633e-12
906,907,SY_DynWin_stdmean,stationarity,0.219,2.445456800553095e-12
907,908,EN_MS_LZcomplexity_4,"entropy,mex",0.219,2.3809767211039926e-12
908,909,DN_FitKernelSmoothraw_plsym,"distribution,ksdensity,symmetry,raw",0.219,2.782155912207595e-12
909,910,MD_pNN_raw_pnn70,"medical,raw,spreaddep",0.218,3.362593320946726e-12
910,911,PP_Compare_diff1_swms10_1,"preprocessing,raw,stationarity",0.218,3.3881789435345108e-12
911,912,SC_FluctAnal_2_rsrangefit_50_1_logi_stdssr,scaling,0.218,3.0945874984414057e-12
912,913,SB_MotifThree_diffquant_bcca,"symbolic,motifs",0.218,3.136506611746737e-12
913,914,ST_LocalExtrema_n25_maxmaxmed,"distribution,stationarity",0.218,2.8954489905429664e-12
914,915,NW_VisibilityGraph_horiz_ktau,"network,visibilityGraph",0.218,3.4250951838458776e-12
915,916,NW_VisibilityGraph_horiz_dpowerk_resAC2,"network,visibilityGraph",0.218,3.3379557677741977e-12
916,917,CO_StickAngles_y_ac1_n,correlation,0.218,3.364750071777455e-12
917,918,CO_StickAngles_y_statav5_p_m,"correlation,stationarity",0.218,2.995647660187853e-12
918,919,DN_FitKernelSmoothraw_entropy,"distribution,ksdensity,entropy,raw,spreaddep",0.218,2.904391560352741e-12
919,920,SY_LocalGlobal_skewness_unicg20,"stationarity,distribution",0.218,3.558414940148425e-12
920,921,SY_SlidingWindow_mom3_ent5_10,stationarity,0.218,3.192035484643093e-12
921,922,SY_SlidingWindow_ent_ent5_1,stationarity,0.218,3.1684954075886037e-12
922,923,IN_AutoMutualInfoStats_diff_20_gaussian_ami6,"information,correlation,AMI",0.218,3.875434823448489e-12
923,924,median_absolute_deviation,"distribution,spread,raw,spreaddep",0.218,3.15793061781505e-12
924,925,SY_VarRatioTest_2_0_pValue,"vratiotest,pvalue",0.217,3.88586938405372e-12
925,926,MF_armax_2_2_05_1_acmnd0,model,0.217,3.794974935965687e-12
926,927,MF_armax_3_1_05_1_AR_2,model,0.217,3.872310628044601e-12
927,928,MF_StateSpace_n4sid_2_05_1_propbth,model,0.217,4.390151103203689e-12
928,929,MF_steps_ahead_ss_best_6_rmserr_3,"model,prediction",0.217,4.610413740760133e-12
929,930,PP_Compare_poly2_statav10,"preprocessing,raw,stationarity",0.217,4.343178930465549e-12
930,931,PP_Compare_poly1_swss10_2,"preprocessing,raw,stationarity",0.217,3.7069066496309204e-12
931,932,SC_FluctAnal_2_rsrange_50_logi_stdssr,scaling,0.217,3.841544571125293e-12
932,933,SB_BinaryStats_mean_diff21stretch1,"distribution,stationarity",0.217,4.187495830306183e-12
933,934,SY_DynWin_stdtaul,stationarity,0.217,3.82138340168347e-12
934,935,CO_Embed2_Basic_1_ring1_01,correlation,0.217,3.6012163529193508e-12
935,936,CO_Embed2_Basic_1_parabup01_n1,correlation,0.217,3.8384810132822525e-12
936,937,CO_AddNoise_1_even_10_pcrossmean,"correlation,AMI,entropy",0.217,3.724275943915763e-12
937,938,EN_rpde_3_1_maxRPD,entropy,0.217,3.828486339729843e-12
938,939,SY_SlidingWindow_ac1_ent5_10,stationarity,0.217,3.75169353807042e-12
939,940,SY_SlidingWindow_mom3_ent2_2,stationarity,0.217,4.0237647730984335e-12
940,941,IN_AutoMutualInfoStats_diff_20_kraskov1_4_pminima,"information,correlation,AMI",0.217,3.765922173384516e-12
941,942,MF_armax_1_1_05_1_dwts,model,0.216,5.650010392107173e-12
942,943,MF_StateSpace_n4sid_3_05_1_acsnd0,model,0.216,4.657678945208041e-12
943,944,MF_CompareTestSets_y_ar_4_rand_25_01_1_mabserr_std,"model,prediction,stationarity",0.216,4.592988765432734e-12
944,945,NL_MS_nlpe_fnn_mi_minfpe,"nonlinear,prediction,model,slow",0.216,5.454305423849386e-12
945,946,WL_cwt_sym2_32_pcross_maxssc50,"wavelet,cwt",0.216,5.574849355260528e-12
946,947,MF_GP_LocalPrediction_covSEiso_covNoise_5_3_10_beforeafter_minerrbar,"model,GaussianProcess",0.216,4.651619840274305e-12
947,948,PP_Compare_poly1_swss5_1,"preprocessing,raw,stationarity",0.216,5.0709595703212465e-12
948,949,NL_TSTL_LargestLyap_n1_01_001_3_mi_fnnmar_expfit_r2,"nonlinear,tstool",0.216,9.051765933720296e-12
949,950,NL_TSTL_LargestLyap_n1_01_001_3_mi_fnnmar_ncross08max,"nonlinear,tstool",0.216,6.786457893599719e-12
950,951,TSTL_localdensity_5_40_ac_2_rangeden,"nonlinear,tstool",0.216,5.573588216477125e-12
951,952,NL_TSTL_FractalDimensions_2_100_02_1_5_10_32_1_5_linfit_a,"nonlinear,tstool,dimension,correlation,stochastic",0.216,5.594505281845859e-12
952,953,SY_TISEAN_nstat_z_4_1_3_stdmean,"nonlinear,tisean,model,stationarity",0.216,4.974587147205975e-12
953,954,NL_TISEAN_fnn_1_10_005_nHood2_8,"nonlinear,dimension,tisean",0.216,7.962214358034444e-12
954,955,NL_TISEAN_fnn_1_10_005_nHood2_7,"nonlinear,dimension,tisean",0.216,6.826983369383624e-12
955,956,SC_FluctAnal_2_dfa_50_2_logi_r2_alpha,scaling,0.216,1.4155989265111838e-11
956,957,SC_FluctAnal_2_dfa_50_2_logi_ssr,scaling,0.216,4.949659619783169e-12
957,958,EN_mse_1-10_2_015_diff1_maxSampEn,"entropy,sampen,controlen,mse",0.216,5.120340650494925e-12
958,959,PH_Walker_prop_11_w_median,trend,0.216,5.386853533260019e-12
959,960,CO_AddNoise_ac_even_10_fitlina,"correlation,AMI,entropy",0.216,5.08281380601587e-12
960,961,SY_SlidingWindow_ac1_s10_2,stationarity,0.216,4.715992973022806e-12
961,962,SY_SlidingWindow_ac1_s10_1,stationarity,0.216,5.343741491081492e-12
962,963,SY_SlidingWindow_mom4_ent2_10,stationarity,0.216,4.56860415212155e-12
963,964,SY_KPSStest_1_pValue,"stationarity,hypothesistest,pvalue",0.215,6.151023822577276e-12
964,965,MF_CompareTestSets_y_ss_2_uniform_25_01_1_rmserr_iqr,"model,prediction,stationarity",0.215,7.0089966882587724e-12
965,966,MF_FitSubsegments_arma_2_2_uniform_25_01_p_2_mean,"model,prediction",0.215,5.764646128548639e-12
966,967,PP_Compare_resample_2_1_gauss1_kd_r2,"preprocessing,raw",0.215,6.4468018257618945e-12
967,968,PP_Compare_rav3_gauss1_kd_r2,"preprocessing,raw",0.215,6.4922530338755325e-12
968,969,PP_Compare_sin2_swms5_1,"preprocessing,raw,stationarity",0.215,6.504860062655991e-12
969,970,NL_TISEAN_fnn_1_10_005_nHood2_6,"nonlinear,dimension,tisean",0.215,8.539694953184841e-12
970,971,NL_TISEAN_fnn_1_10_005_nHood2_5,"nonlinear,dimension,tisean",0.215,9.285811070998865e-12
971,972,NL_crptool_fnn_10_2_1_fnn3,"nonlinear,dimension,crptool",0.215,5.97507855091825e-12
972,973,SP_Summaries_fft_linfitloglog_hf_a2,FourierSpectrum,0.215,7.002475950434684e-12
973,974,MF_AR_arcov_5_a5,"model,fit",0.215,6.044130333760876e-12
974,975,CO_Embed2_Basic_tau_parabup01_n1,correlation,0.215,6.966488696156377e-12
975,976,SY_LocalGlobal_skewness_l20,"stationarity,distribution",0.215,6.361320902747298e-12
976,977,SY_SlidingWindow_ent_s10_2,stationarity,0.215,6.9292787868573265e-12
977,978,IN_AutoMutualInfoStats_diff_20_gaussian_ami1,"information,correlation,AMI",0.215,6.58846031870963e-12
978,979,ST_MomentCorr_002_02_mean_std_abs_density,statistics,0.214,8.31490294396627e-12
979,980,MF_ExpSmoothing_05_best_popt,model,0.214,8.742910804027378e-12
980,981,MF_StateSpace_n4sid_3_05_1_sbc1,model,0.214,8.873395011847659e-12
981,982,MF_CompareTestSets_y_ar_4_rand_25_01_1_stdrats_std,"model,prediction,stationarity",0.214,8.278658556822517e-12
982,983,MF_FitSubsegments_ss_2_uniform_25_01_fpe_range,"model,prediction",0.214,9.478435445685081e-12
983,984,MF_FitSubsegments_ss_2_uniform_25_01_fpe_std,"model,prediction",0.214,8.695892585700723e-12
984,985,NL_MS_nlpe_2_mi_minfpe,"nonlinear,prediction,model",0.214,9.029490638435093e-12
985,986,NL_MS_nlpe_2_mi_ac2n,"nonlinear,prediction,model",0.214,9.212723788778163e-12
986,987,MF_GP_LocalPrediction_covSEiso_covNoise_10_3_20_randomgap_maxmlik,"model,GaussianProcess",0.214,7.939423084075901e-12
987,988,MF_GP_LocalPrediction_covSEiso_covNoise_10_3_20_randomgap_minerrbar,"model,GaussianProcess",0.214,7.825243426740154e-12
988,989,PP_Compare_diff1_swms5_1,"preprocessing,raw,stationarity",0.214,8.25976069915159e-12
989,990,NL_TISEAN_fnn_1_10_005_nHood2_4,"nonlinear,dimension,tisean",0.214,1.1394245303395105e-11
990,991,NL_TISEAN_fnn_1_10_005_nHood2_3,"nonlinear,dimension,tisean",0.214,1.2181206711872912e-11
991,992,SP_Summaries_fft_logarea_5_5,FourierSpectrum,0.214,7.169840808231175e-12
992,993,SP_Summaries_welch_rect_logarea_5_5,FourierSpectrum,0.214,7.357138797824603e-12
993,994,SC_FluctAnal_2_rsrange_50_logi_ratsplitminerr,scaling,0.214,7.688858199411183e-12
994,995,SC_FluctAnal_2_rsrange_50_logi_alpha,scaling,0.214,7.545205905321328e-12
995,996,SB_MotifThree_quantile_baba,"symbolic,motifs",0.214,8.875439536094021e-12
996,997,ST_LocalExtrema_n100_stdmax,"distribution,stationarity",0.214,8.613018156338757e-12
997,998,DN_RemovePoints_min_05_saturate_std,"correlation,outliers",0.214,7.899062548219615e-12
998,999,SB_TransitionMatrix_3ac_symdiff,"symbolic,transitionmat",0.214,7.602161631954778e-12
999,1000,EN_PermEn_4_2_normPermEn,entropy,0.214,8.529451214352364e-12
1000,1001,MF_ExpSmoothing_05_best_ac1,model,0.213,9.74592987709796e-12
1001,1002,MF_ExpSmoothing_05_best_p3_5,model,0.213,9.228355689740074e-12
1002,1003,MF_armax_3_1_05_1_propbth,model,0.213,1.0391424054352428e-11
1003,1004,MF_CompareTestSets_y_ss_best_uniform_25_01_1_mabserr_iqr,"model,prediction,stationarity",0.213,9.701637801337357e-12
1004,1005,MF_CompareTestSets_y_ar_best_uniform_25_01_1_mabserr_iqr,"model,prediction,arfit,stationarity",0.213,1.0700778814113247e-11
1005,1006,WL_cwt_db3_32_pover99,"wavelet,cwt",0.213,1.0852704654930332e-11
1006,1007,PP_Compare_spline64_statav2,"preprocessing,raw,stationarity",0.213,1.0703355767386206e-11
1007,1008,PP_Compare_poly2_swms5_2,"preprocessing,raw,stationarity",0.213,1.0420747343361681e-11
1008,1009,SP_Summaries_welch_rect_linfitloglog_hf_a2,FourierSpectrum,0.213,9.497275510432761e-12
1009,1010,SC_FluctAnal_2_dfa_50_2_logi_r2_linfitint,scaling,0.213,2.9061367617881117e-11
1010,1011,SB_MotifThree_diffquant_cc,"symbolic,motifs",0.213,9.983219483776298e-12
1011,1012,SB_MotifThree_quantile_abaa,"symbolic,motifs",0.213,1.0257387935279048e-11
1012,1013,SB_MotifTwo_diff_ddud,"symbolic,motifs",0.213,9.471873124285074e-12
1013,1014,SB_BinaryStats_diff_longstretch1,"distribution,stationarity",0.213,9.400014262906731e-12
1014,1015,ST_LocalExtrema_n100_diffmaxabsmin,"distribution,stationarity",0.213,9.332501819126847e-12
1015,1016,ST_LocalExtrema_n25_meanext,"distribution,stationarity",0.213,1.1128941104135233e-11
1016,1017,ST_LocalExtrema_l100_meanext,"distribution,stationarity",0.213,1.0658972007479184e-11
1017,1018,EN_Randomize_statdist_swss5_1fexprmse,"entropy,slow,stationarity",0.213,9.216208189655951e-12
1018,1019,CO_AddNoise_ac_std1_10_pdec,"correlation,AMI,entropy",0.213,1.0750655552500469e-11
1019,1020,SY_SlidingWindow_s_sampen5_10,stationarity,0.213,9.979270238400467e-12
1020,1021,SY_SlidingWindow_m_sampen10_10,stationarity,0.213,1.0391955712429845e-11
1021,1022,IN_AutoMutualInfoStats_diff_20_kraskov1_4_pextrema,"information,correlation,AMI",0.213,1.0820565088771021e-11
1022,1023,IN_AutoMutualInfoStats_diff_20_gaussian_amiac1,"information,correlation,AMI",0.213,1.0846349748151383e-11
1023,1024,MD_pNN_raw_pnn60,"medical,raw,spreaddep",0.212,1.2544237636555011e-11
1024,1025,NL_MS_nlpe_fnn_mi_p5_5,"nonlinear,prediction,model,slow",0.212,1.3469872404939493e-11
1025,1026,PP_Compare_spline44_swss10_2,"preprocessing,raw,stationarity",0.212,1.306829433035332e-11
1026,1027,PP_Compare_spline24_statav8,"preprocessing,raw,stationarity",0.212,1.2179926908334717e-11
1027,1028,NL_TSTL_LargestLyap_n1_01_001_3_1_4_vse_minbad,"nonlinear,tstool",0.212,1.6409097131847026e-11
1028,1029,NL_TSTL_FractalDimensions_2_10_n1_1_5_10_32_1_5_rangeq,"nonlinear,tstool,dimension,correlation",0.212,1.3234552436190107e-11
1029,1030,SY_TISEAN_nstat_z_4_1_3_minoffdiag,"nonlinear,tisean,model,stationarity",0.212,1.186590400164982e-11
1030,1031,NL_TISEAN_fnn_1_10_005_nHood2_9,"nonlinear,dimension,tisean",0.212,2.0878663604470615e-11
1031,1032,SC_FluctAnal_2_dfa_50_1_3_logi_se2,scaling,0.212,1.1629287119741946e-11
1032,1033,SB_MotifThree_diffquant_aca,"symbolic,motifs",0.212,1.243537977750078e-11
1033,1034,SB_MotifTwo_diff_dud,"symbolic,motifs",0.212,1.3428557988549312e-11
1034,1035,ST_LocalExtrema_n25_minabsmin,"distribution,stationarity",0.212,1.3783392703147694e-11
1035,1036,ST_LocalExtrema_l100_stdmax,"distribution,stationarity",0.212,1.3924041596268666e-11
1036,1037,DN_OutlierInclude_p_001_stdrfla,"distribution,outliers",0.212,1.409037151921317e-11
1037,1038,DN_OutlierInclude_p_001_stdrfexpb,"distribution,outliers",0.212,1.3738686336821963e-11
1038,1039,DN_SimpleFit_exp1_resruns_hsqrt,"distribution,gof,exp1",0.212,1.2484629762820686e-11
1039,1040,PH_Walker_runningvar_15_50_res_runstest,trend,0.212,1.1931055454540556e-11
1040,1041,PH_Walker_prop_05_res_ac1,trend,0.212,1.1493867139512e-11
1041,1042,CO_TranslateShape_rectangle_2_pts_statav3_s,"correlation,stationarity",0.212,1.3101805484476548e-11
1042,1043,CO_AddNoise_ac_even_10_meanch,"correlation,AMI,entropy",0.212,1.2251307816181419e-11
1043,1044,CO_AddNoise_1_quantiles_10_pdec,"correlation,AMI,entropy",0.212,1.2948950061074784e-11
1044,1045,EN_PermEn_3_1_normPermEn,entropy,0.212,1.3730549994091282e-11
1045,1046,SY_SlidingWindow_ac1_ent5_2,stationarity,0.212,1.1510793136261643e-11
1046,1047,SY_SlidingWindow_ac1_ent5_1,stationarity,0.212,1.3631916061524885e-11
1047,1048,SY_SlidingWindow_ac1_sampen10_1,stationarity,0.212,1.3577368031980385e-11
1048,1049,SY_SlidingWindow_ac1_s5_10,stationarity,0.212,1.3909538297122249e-11
1049,1050,SY_SlidingWindow_mom3_ent5_2,stationarity,0.212,1.3884834813613705e-11
1050,1051,SY_SlidingWindow_ent_s10_10,stationarity,0.212,1.1866394350746982e-11
1051,1052,MF_ExpSmoothing_05_best_dwts,model,0.211,1.6202828707196042e-11
1052,1053,MF_armax_3_1_05_1_minfpe,model,0.211,1.7690393395318054e-11
1053,1054,MF_CompareAR_1_10_05_meandiff,model,0.211,1.706134347739753e-11
1054,1055,MF_CompareAR_1_10_all_stddiff,model,0.211,1.7361553737784464e-11
1055,1056,PP_Compare_spline24_swms2_2,"preprocessing,raw,stationarity",0.211,1.5820454500414014e-11
1056,1057,PP_Compare_spline24_statav6,"preprocessing,raw,stationarity",0.211,1.6672924174869833e-11
1057,1058,PP_Compare_sin2_swms2_2,"preprocessing,raw,stationarity",0.211,1.697482604326091e-11
1058,1059,NL_TSTL_LargestLyap_n1_01_001_3_1_4_p3,"nonlinear,tstool",0.211,2.061293845068438e-11
1059,1060,SY_TISEAN_nstat_z_4_1_3_minupper,"nonlinear,tisean,model,stationarity",0.211,1.4523056770572638e-11
1060,1061,SP_Summaries_fft_logarea_4_4,FourierSpectrum,0.211,1.7298069464534898e-11
1061,1062,SP_Summaries_welch_rect_logarea_4_4,FourierSpectrum,0.211,1.7298069464534898e-11
1062,1063,FC_LocalSimple_lfittau_tauresrat,forecasting,0.211,1.4675063677971885e-11
1063,1064,NW_VisibilityGraph_norm_kac1,"network,visibilityGraph",0.211,1.4151885815297598e-11
1064,1065,CO_StickAngles_y_statav4_p_m,"correlation,stationarity",0.211,1.6696550793142712e-11
1065,1066,DN_FitKernelSmooth_area_005,"distribution,ksdensity,raw,spreaddep",0.211,1.4878719965135005e-11
1066,1067,SY_SlidingWindow_mom3_ent5_1,stationarity,0.211,1.6810123566145738e-11
1067,1068,SY_SlidingWindow_ent_s10_1,stationarity,0.211,1.6361856790880535e-11
1068,1069,SY_SlidingWindow_ent_s2_10,stationarity,0.211,1.4906695678042797e-11
1069,1070,quantile_95,distribution,0.211,1.7008058828197626e-11
1070,1071,MF_CompareAR_1_10_all_maxdiff,model,0.210,1.9150563712938092e-11
1071,1072,MF_steps_ahead_ar_best_6_maxdiffrms,"model,prediction,arfit",0.210,2.2152071843013747e-11
1072,1073,NL_MS_nlpe_2_mi_ac3n,"nonlinear,prediction,model",0.210,2.414966557736772e-11
1073,1074,MF_GP_LocalPrediction_covSEiso_covNoise_10_3_20_randomgap_meanlogh3,"model,GaussianProcess",0.210,1.8825247083573868e-11
1074,1075,NL_TSTL_dimensions_50_ac_fnnmar_scr_bc_m1_scaling_int,"nonlinear,tstool,scaling,dimension",0.210,4.2076628654921714e-11
1075,1076,NL_crptool_fnn_10_2_1_firstunder07,"nonlinear,dimension,crptool",0.210,2.0081843251606665e-11
1076,1077,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,scaling,0.210,1.8594863798824974e-11
1077,1078,SB_MotifThree_diffquant_caa,"symbolic,motifs",0.210,1.947269112823174e-11
1078,1079,SB_MotifThree_diffquant_abb,"symbolic,motifs",0.210,1.837992617059701e-11
1079,1080,SB_MotifThree_quantile_bcbc,"symbolic,motifs",0.210,1.9080470901863784e-11
1080,1081,EN_DistributionEntropy_raw_ks__002,"entropy,raw,spreaddep",0.210,2.1721681409887414e-11
1081,1082,SC_fastdfa_exponent,"scaling,mex",0.210,2.0886823946724283e-11
1082,1083,quantile_96,distribution,0.210,1.905115930569465e-11
1083,1084,ST_MomentCorr_002_02_median_iqr_sqrt_mi,statistics,0.209,2.7175690371502888e-11
1084,1085,ST_MomentCorr_002_02_median_iqr_sqrt_absR,statistics,0.209,2.716386563357826e-11
1085,1086,SY_VarRatioTest_24682468_00001111_maxstat,vratiotest,0.209,2.541635648403756e-11
1086,1087,MF_ExpSmoothing_05_best_alphamin_1,model,0.209,2.6474912277274275e-11
1087,1088,MF_steps_ahead_ss_best_6_ac1_2,"model,prediction",0.209,2.4160736315064412e-11
1088,1089,MF_GP_LocalPrediction_covSEiso_covNoise_10_3_20_randomgap_stdmlik,"model,GaussianProcess",0.209,3.84472904020709e-11
1089,1090,MF_GP_LocalPrediction_covSEiso_covNoise_10_3_20_frombefore_stdmlik,"model,GaussianProcess",0.209,3.974200876390901e-11
1090,1091,PP_Compare_diff1_statav10,"preprocessing,raw,stationarity",0.209,2.4288072192652086e-11
1091,1092,PP_Compare_poly2_swms10_1,"preprocessing,raw,stationarity",0.209,2.4326926172914208e-11
1092,1093,SD_TSTL_surrogates_mi_100_2_trev_stdsurr,"nonlinear,tstool,correlation,surrogate",0.209,2.257483714027629e-11
1093,1094,NL_TSTL_dimensions_50_ac_fnnmar_bc_meandiff,"nonlinear,tstool,scaling,dimension",0.209,4.3542970576139763e-11
1094,1095,SP_Summaries_pgram_hamm_sfm,FourierSpectrum,0.209,2.4535082048833326e-11
1095,1096,SB_MotifThree_diffquant_cacc,"symbolic,motifs",0.209,2.3105906622552104e-11
1096,1097,SB_MotifThree_diffquant_cac,"symbolic,motifs",0.209,2.2839234590769485e-11
1097,1098,FC_LocalSimple_median3_tauresrat,forecasting,0.209,2.64122467998971e-11
1098,1099,FC_LocalSimple_meantau_sws,forecasting,0.209,2.394906967600548e-11
1099,1100,CO_StickAngles_y_statav3_p_m,"correlation,stationarity",0.209,2.3794180520287702e-11
1100,1101,SY_LocalGlobal_AC1_p05,stationarity,0.209,2.2779126068528725e-11
1101,1102,SY_SlidingWindow_ac1_ent2_10,stationarity,0.209,2.4031728902399722e-11
1102,1103,MF_compare_GARCH_ar_1_3_1_3_bestqAIC,model,0.208,3.350648237009021e-11
1103,1104,MF_GP_LocalPrediction_covSEiso_covNoise_10_3_20_frombefore_maxmlik,"model,GaussianProcess",0.208,3.403751714215828e-11
1104,1105,MF_GP_LocalPrediction_covSEiso_covNoise_10_3_20_frombefore_minerrbar,"model,GaussianProcess",0.208,3.101018289976332e-11
1105,1106,MF_GP_hyperparameters_covSEiso_covNoise_1_200_first_logh3,"model,GaussianProcess",0.208,4.033284511893097e-11
1106,1107,PP_Compare_rav3_gauss1_kd_rmse,"preprocessing,raw",0.208,3.8279550152647795e-11
1107,1108,PP_Compare_poly1_swss10_1,"preprocessing,raw,stationarity",0.208,2.935081485365431e-11
1108,1109,MF_AR_arcov_4_a5,"model,fit",0.208,2.827307445142345e-11
1109,1110,SB_MotifThree_diffquant_baaa,"symbolic,motifs",0.208,3.0236043641409334e-11
1110,1111,FC_LoopLocalSimple_mean_sws_fexp_rmse,forecasting,0.208,3.124727667879158e-11
1111,1112,EN_MS_LZcomplexity_3,"entropy,mex",0.208,3.061543273916076e-11
1112,1113,MF_armax_3_1_05_1_popt,model,0.207,3.73769468336332e-11
1113,1114,MF_CompareAR_1_10_05_maxdiff,model,0.207,3.817056454083901e-11
1114,1115,MF_StateSpace_n4sid_3_05_1_propbth,model,0.207,3.882214927510977e-11
1115,1116,MF_CompareTestSets_y_ar_best_uniform_25_01_1_stdrats_mean,"model,prediction,arfit,stationarity",0.207,3.9266756814203853e-11
1116,1117,MF_steps_ahead_arma_3_1_6_stddiffrms,"model,prediction",0.207,3.7742404622624504e-11
1117,1118,MF_steps_ahead_ss_best_6_stddiffrms,"model,prediction",0.207,4.197915895557735e-11
1118,1119,NL_MS_fnn_1_10_mi_5_1_max1stepchange,"nonlinear,fnn,slow",0.207,4.863824124978815e-11
1119,1120,MF_GP_LocalPrediction_covSEiso_covNoise_5_3_10_beforeafter_maxmlik,"model,GaussianProcess",0.207,4.259508827762487e-11
1120,1121,NL_TSTL_FractalDimensions_2_100_02_1_5_10_32_1_5_rangeDq,"nonlinear,tstool,dimension,correlation,stochastic",0.207,3.7074169483357146e-11
1121,1122,SY_TISEAN_nstat_z_5_1_3_rangemean,"nonlinear,tisean,model,stationarity",0.207,4.043776160460419e-11
1122,1123,NL_crptool_fnn_10_2_1_fnn5,"nonlinear,dimension,crptool",0.207,3.517486546274142e-11
1123,1124,SP_Summaries_fft_logarea_3_3,FourierSpectrum,0.207,3.4616224929536934e-11
1124,1125,SP_Summaries_fft_linfitsemilog_all_a2,FourierSpectrum,0.207,5.48193135748296e-11
1125,1126,SP_Summaries_welch_rect_logarea_3_3,FourierSpectrum,0.207,3.489597419115884e-11
1126,1127,SP_Summaries_welch_rect_linfitsemilog_all_a2,FourierSpectrum,0.207,5.862547149681217e-11
1127,1128,SP_Summaries_pgram_hamm_logarea_5_5,FourierSpectrum,0.207,3.4812062653308736e-11
1128,1129,SC_FluctAnal_2_rsrangefit_50_1_logi_r2_resac1,scaling,0.207,8.788388560823773e-11
1129,1130,SB_MotifTwo_diff_ud,"symbolic,motifs",0.207,3.5388277956286265e-11
1130,1131,SB_MotifTwo_diff_du,"symbolic,motifs",0.207,3.60456626337619e-11
1131,1132,SB_BinaryStats_diff_pstretch1,"distribution,stationarity",0.207,3.641891214986573e-11
1132,1133,PH_Walker_momentum_2_sw_ac1rat,trend,0.207,3.8690404221881414e-11
1133,1134,PD_PeriodicityWang_th10_sqrtN,"periodicity,spline",0.207,3.703984658133934e-11
1134,1135,SY_SlidingWindow_s_sampen10_2,stationarity,0.207,4.07260122464098e-11
1135,1136,IN_AutoMutualInfoStats_diff_20_kraskov1_4_stdami,"information,correlation,AMI",0.207,3.5175245267798996e-11
1136,1137,MF_CompareTestSets_y_ss_2_uniform_25_01_1_ac1s_median,"model,prediction,stationarity",0.206,4.382745539365233e-11
1137,1138,MF_CompareTestSets_y_ar_best_uniform_25_01_1_stdrats_median,"model,prediction,arfit,stationarity",0.206,4.350650750783046e-11
1138,1139,MF_FitSubsegments_ar_2_uniform_25_01_fpe_max,"model,prediction",0.206,4.7039811607248145e-11
1139,1140,MF_steps_ahead_ar_2_6_ac1_4,"model,prediction",0.206,4.683330609335302e-11
1140,1141,MF_steps_ahead_ar_2_6_mabserr_1,"model,prediction",0.206,5.094868690767322e-11
1141,1142,MF_GP_LocalPrediction_covSEiso_covNoise_10_3_20_frombefore_minmlik,"model,GaussianProcess",0.206,4.848837796211599e-11
